time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_meas1,tau_meas2
2.833416461944580078e-01,4.793690095539204776e-05,0.000000000000000000e+00,-1.124958135187625885e-02,-1.547139734029769897e-01,-3.836285031866282225e-05,-1.543621037853881717e-04
2.866749763488769531e-01,2.396845084149390459e-04,-3.834952076431363821e-04,3.041241876780986786e-02,-2.495589852333068848e-01,-3.428052586968988180e-04,-5.748407565988600254e-04
2.900083065032958984e-01,2.876213984563946724e-04,0.000000000000000000e+00,4.129381850361824036e-02,-1.903751045465469360e-01,-2.957975448225624859e-05,-1.436958205886185169e-03
2.933416366577148438e-01,-1.917476038215681911e-04,-7.669904152862727642e-04,-8.186011016368865967e-02,-4.053527712821960449e-01,-1.370303798466920853e-04,-1.024266821332275867e-04
2.966749668121337891e-01,3.355583176016807556e-04,-7.669904152862727642e-04,4.870297759771347046e-02,3.053862452507019043e-01,-6.218821363290771842e-05,-4.389256646391004324e-04
3.000094890594482422e-01,4.793690095539204776e-05,3.834952076431363821e-04,-3.314952924847602844e-02,2.652109563350677490e-01,-1.763806358212605119e-04,-1.121758366934955120e-03
3.033428192138671875e-01,1.438106992281973362e-04,0.000000000000000000e+00,-3.969435580074787140e-03,3.464759513735771179e-02,3.553508140612393618e-04,1.381610782118514180e-04
3.066761493682861328e-01,4.793690095539204776e-05,3.834952076431363821e-04,-1.804341748356819153e-02,1.785814464092254639e-01,-3.632142324931919575e-04,4.248543991707265377e-04
3.100094795227050781e-01,-4.793690095539204776e-05,3.834952076431363821e-04,-2.509954199194908142e-02,1.806503534317016602e-01,1.186232548207044601e-04,-4.922394291497766972e-04
3.133428096771240234e-01,-1.438106992281973362e-04,0.000000000000000000e+00,-3.645202144980430603e-02,-1.997756808996200562e-01,-3.395022358745336533e-04,-1.483453670516610146e-04
3.166761398315429688e-01,-4.793690095539204776e-05,1.150485593825578690e-03,-1.724719186313450336e-04,3.771156966686248779e-01,-1.280360902455868199e-05,-5.939875263720750809e-04
3.200094699859619141e-01,2.876213984563946724e-04,7.669904152862727642e-04,8.580233156681060791e-02,2.013033777475357056e-01,-1.883657532744109631e-04,-4.781566967722028494e-04
3.233428001403808594e-01,-1.438106992281973362e-04,7.669904152862727642e-04,-1.449308358132839203e-02,1.663091033697128296e-01,1.656676759012043476e-04,1.076006738003343344e-04
3.266761302947998047e-01,9.587380191078409553e-05,0.000000000000000000e+00,-6.852903217077255249e-02,6.934241205453872681e-02,-2.541968715377151966e-04,-9.133339044637978077e-04
3.300094604492187500e-01,0.000000000000000000e+00,-7.669904152862727642e-04,5.767301656305789948e-03,-4.092011749744415283e-01,3.195044992025941610e-04,-5.134001257829368114e-04
3.333427906036376953e-01,9.587380191078409553e-05,-3.834952076431363821e-04,1.932046934962272644e-02,-2.148167490959167480e-01,1.739618892315775156e-04,-2.158527931896969676e-04
3.366763591766357422e-01,4.793690095539204776e-05,0.000000000000000000e+00,-2.900743158534169197e-03,8.038435131311416626e-02,5.687423254130408168e-05,1.369665551465004683e-04
3.400096893310546875e-01,9.587380191078409553e-05,-7.669904152862727642e-04,1.188221969641745090e-03,-2.312113493680953979e-01,-5.356211840989999473e-05,3.416547260712832212e-04
3.433430194854736328e-01,2.876213984563946724e-04,1.150485593825578690e-03,4.797820001840591431e-02,6.315841674804687500e-01,1.450609706807881594e-04,2.042853593593463302e-04
3.466763496398925781e-01,-4.793690095539204776e-05,3.834952076431363821e-04,-2.069898694753646851e-02,1.794209182262420654e-01,-9.241176303476095200e-05,-5.126714822836220264e-04
3.500096797943115234e-01,-4.314320976845920086e-04,3.834952076431363821e-04,-9.808462113142013550e-02,7.224652916193008423e-02,-1.398224849253892899e-04,1.460866478737443686e-04
3.533430099487304688e-01,0.000000000000000000e+00,3.834952076431363821e-04,2.345604263246059418e-02,4.373768344521522522e-02,-3.022637392859905958e-04,-9.791544871404767036e-04
3.566763401031494141e-01,-3.355583176016807556e-04,1.150485593825578690e-03,2.962421067059040070e-02,7.490053307265043259e-03,-1.611254265299066901e-04,9.046887134900316596e-05
3.600096702575683594e-01,-3.834952076431363821e-04,0.000000000000000000e+00,-5.118095874786376953e-02,-2.375205010175704956e-01,2.946720633190125227e-04,6.856780146335950121e-06
3.633430004119873047e-01,-3.834952076431363821e-04,-3.834952076431363821e-04,-5.930975452065467834e-02,-4.296523630619049072e-01,-5.524309817701578140e-04,-2.259306493215262890e-04
3.666763305664062500e-01,4.314320976845920086e-04,0.000000000000000000e+00,1.311669200658798218e-01,-1.876003593206405640e-01,3.917568537872284651e-04,-4.486557445488870144e-04
3.700096607208251953e-01,4.793690095539204776e-05,3.834952076431363821e-04,2.836286462843418121e-02,1.085310503840446472e-01,-4.918454214930534363e-05,3.482844622340053320e-04
3.733429908752441406e-01,1.438106992281973362e-04,0.000000000000000000e+00,3.693556413054466248e-02,-2.196386158466339111e-01,-1.573740009916946292e-04,-3.595786693040281534e-04
3.766763210296630859e-01,-4.793690095539204776e-05,-7.669904152862727642e-04,-2.276307158172130585e-02,-4.972625672817230225e-01,-5.889684325666166842e-05,-3.320325049571692944e-04
3.800096511840820312e-01,0.000000000000000000e+00,-3.834952076431363821e-04,1.614580675959587097e-02,-8.858118951320648193e-02,-2.747518883552402258e-04,1.557590730953961611e-04
3.833432197570800781e-01,1.438106992281973362e-04,0.000000000000000000e+00,1.614580675959587097e-02,-8.858118951320648193e-02,-2.747518883552402258e-04,1.557590730953961611e-04
3.866765499114990234e-01,9.587380191078409553e-05,7.669904152862727642e-04,-5.729147233068943024e-03,6.493187695741653442e-02,3.255507035646587610e-04,6.583646754734218121e-04
3.900098800659179688e-01,-2.876213984563946724e-04,-3.834952076431363821e-04,-7.731882482767105103e-02,-2.658387124538421631e-01,7.220957195386290550e-05,1.844648068072274327e-04
3.933432102203369141e-01,1.917476038215681911e-04,7.669904152862727642e-04,4.730137437582015991e-02,3.058185987174510956e-02,-1.640339469304308295e-04,-6.138341850601136684e-04
